City,DateTime,Temp(F),Description
Orlando,2025-06-26 21:00:00,88.45,few clouds
Orlando,2025-06-27 00:00:00,84.06,scattered clouds
Orlando,2025-06-27 03:00:00,77.81,light rain
Orlando,2025-06-27 06:00:00,75.27,broken clouds
Orlando,2025-06-27 09:00:00,74.61,overcast clouds
Orlando,2025-06-27 12:00:00,78.12,overcast clouds
Orlando,2025-06-27 15:00:00,87.17,overcast clouds
Orlando,2025-06-27 18:00:00,93.63,overcast clouds
Orlando,2025-06-27 21:00:00,76.78,moderate rain
Orlando,2025-06-28 00:00:00,77.95,moderate rain
Orlando,2025-06-28 03:00:00,75.47,light rain
Orlando,2025-06-28 06:00:00,74.79,scattered clouds
Orlando,2025-06-28 09:00:00,74.37,clear sky
Orlando,2025-06-28 12:00:00,77.47,clear sky
Orlando,2025-06-28 15:00:00,88.83,scattered clouds
Orlando,2025-06-28 18:00:00,94.59,scattered clouds
Orlando,2025-06-28 21:00:00,94.78,overcast clouds
Orlando,2025-06-29 00:00:00,76.73,heavy intensity rain
Orlando,2025-06-29 03:00:00,74.89,moderate rain
Orlando,2025-06-29 06:00:00,73.92,light rain
Orlando,2025-06-29 09:00:00,74.41,light rain
Orlando,2025-06-29 12:00:00,77.7,overcast clouds
Orlando,2025-06-29 15:00:00,86.18,broken clouds
Orlando,2025-06-29 18:00:00,93.63,broken clouds
Orlando,2025-06-29 21:00:00,80.62,moderate rain
Orlando,2025-06-30 00:00:00,71.92,heavy intensity rain
Orlando,2025-06-30 03:00:00,72.88,light rain
Orlando,2025-06-30 06:00:00,73.33,overcast clouds
Orlando,2025-06-30 09:00:00,73.45,overcast clouds
Orlando,2025-06-30 12:00:00,76.23,overcast clouds
Orlando,2025-06-30 15:00:00,84.11,light rain
Orlando,2025-06-30 18:00:00,89.19,overcast clouds
Orlando,2025-06-30 21:00:00,88.03,light rain
Orlando,2025-07-01 00:00:00,83.39,light rain
Orlando,2025-07-01 03:00:00,80.35,light rain
Orlando,2025-07-01 06:00:00,78.4,scattered clouds
Orlando,2025-07-01 09:00:00,76.8,few clouds
Orlando,2025-07-01 12:00:00,79.2,scattered clouds
Orlando,2025-07-01 15:00:00,87.24,scattered clouds
Orlando,2025-07-01 18:00:00,92.73,scattered clouds
Chicago,2025-06-26 21:00:00,92.41,light rain
Chicago,2025-06-27 00:00:00,88.14,light rain
Chicago,2025-06-27 03:00:00,81.93,light rain
Chicago,2025-06-27 06:00:00,80.38,clear sky
Chicago,2025-06-27 09:00:00,77.2,light rain
Chicago,2025-06-27 12:00:00,76.62,clear sky
Chicago,2025-06-27 15:00:00,85.3,clear sky
Chicago,2025-06-27 18:00:00,90.54,few clouds
Chicago,2025-06-27 21:00:00,86.14,overcast clouds
Chicago,2025-06-28 00:00:00,81.79,overcast clouds
Chicago,2025-06-28 03:00:00,76.73,clear sky
Chicago,2025-06-28 06:00:00,71.94,clear sky
Chicago,2025-06-28 09:00:00,69.06,scattered clouds
Chicago,2025-06-28 12:00:00,69.1,few clouds
Chicago,2025-06-28 15:00:00,77.79,clear sky
Chicago,2025-06-28 18:00:00,83.93,clear sky
Chicago,2025-06-28 21:00:00,79.81,clear sky
Chicago,2025-06-29 00:00:00,78.69,few clouds
Chicago,2025-06-29 03:00:00,73.36,clear sky
Chicago,2025-06-29 06:00:00,74.46,few clouds
Chicago,2025-06-29 09:00:00,73.87,overcast clouds
Chicago,2025-06-29 12:00:00,75.81,overcast clouds
Chicago,2025-06-29 15:00:00,85.98,few clouds
Chicago,2025-06-29 18:00:00,91.56,few clouds
Chicago,2025-06-29 21:00:00,89.4,broken clouds
Chicago,2025-06-30 00:00:00,87.13,broken clouds
Chicago,2025-06-30 03:00:00,79.88,light rain
Chicago,2025-06-30 06:00:00,74.37,moderate rain
Chicago,2025-06-30 09:00:00,72.82,light rain
Chicago,2025-06-30 12:00:00,73.27,broken clouds
Chicago,2025-06-30 15:00:00,74.97,light rain
Chicago,2025-06-30 18:00:00,85.1,broken clouds
Chicago,2025-06-30 21:00:00,86.29,few clouds
Chicago,2025-07-01 00:00:00,81.77,scattered clouds
Chicago,2025-07-01 03:00:00,76.77,scattered clouds
Chicago,2025-07-01 06:00:00,73.42,few clouds
Chicago,2025-07-01 09:00:00,70.41,clear sky
Chicago,2025-07-01 12:00:00,71.6,clear sky
Chicago,2025-07-01 15:00:00,79.88,clear sky
Chicago,2025-07-01 18:00:00,85.53,clear sky
Dallas,2025-06-26 21:00:00,90.77,scattered clouds
Dallas,2025-06-27 00:00:00,87.06,broken clouds
Dallas,2025-06-27 03:00:00,83.41,clear sky
Dallas,2025-06-27 06:00:00,80.24,scattered clouds
Dallas,2025-06-27 09:00:00,78.17,overcast clouds
Dallas,2025-06-27 12:00:00,76.57,overcast clouds
Dallas,2025-06-27 15:00:00,85.08,overcast clouds
Dallas,2025-06-27 18:00:00,93.25,overcast clouds
Dallas,2025-06-27 21:00:00,92.68,light rain
Dallas,2025-06-28 00:00:00,91.17,overcast clouds
Dallas,2025-06-28 03:00:00,86.13,scattered clouds
Dallas,2025-06-28 06:00:00,83.16,few clouds
Dallas,2025-06-28 09:00:00,80.62,clear sky
Dallas,2025-06-28 12:00:00,78.55,few clouds
Dallas,2025-06-28 15:00:00,86.36,clear sky
Dallas,2025-06-28 18:00:00,94.75,clear sky
Dallas,2025-06-28 21:00:00,98.08,clear sky
Dallas,2025-06-29 00:00:00,94.33,clear sky
Dallas,2025-06-29 03:00:00,87.93,clear sky
Dallas,2025-06-29 06:00:00,83.79,clear sky
Dallas,2025-06-29 09:00:00,80.42,clear sky
Dallas,2025-06-29 12:00:00,78.67,clear sky
Dallas,2025-06-29 15:00:00,86.11,clear sky
Dallas,2025-06-29 18:00:00,94.48,clear sky
Dallas,2025-06-29 21:00:00,98.51,clear sky
Dallas,2025-06-30 00:00:00,95.81,clear sky
Dallas,2025-06-30 03:00:00,86.09,clear sky
Dallas,2025-06-30 06:00:00,82.9,clear sky
Dallas,2025-06-30 09:00:00,80.6,clear sky
Dallas,2025-06-30 12:00:00,78.84,clear sky
Dallas,2025-06-30 15:00:00,86.99,clear sky
Dallas,2025-06-30 18:00:00,95.49,clear sky
Dallas,2025-06-30 21:00:00,99.66,clear sky
Dallas,2025-07-01 00:00:00,98.1,clear sky
Dallas,2025-07-01 03:00:00,89.35,clear sky
Dallas,2025-07-01 06:00:00,85.8,clear sky
Dallas,2025-07-01 09:00:00,83.17,few clouds
Dallas,2025-07-01 12:00:00,81.84,scattered clouds
Dallas,2025-07-01 15:00:00,89.65,clear sky
Dallas,2025-07-01 18:00:00,98.85,clear sky
Washington D.C.,2025-06-26 21:00:00,92.16,light rain
Washington D.C.,2025-06-27 00:00:00,84.6,moderate rain
Washington D.C.,2025-06-27 03:00:00,74.53,light rain
Washington D.C.,2025-06-27 06:00:00,73.76,overcast clouds
Washington D.C.,2025-06-27 09:00:00,73.13,light rain
Washington D.C.,2025-06-27 12:00:00,72.57,overcast clouds
Washington D.C.,2025-06-27 15:00:00,71.76,overcast clouds
Washington D.C.,2025-06-27 18:00:00,74.79,overcast clouds
Washington D.C.,2025-06-27 21:00:00,75.63,light rain
Washington D.C.,2025-06-28 00:00:00,73.74,overcast clouds
Washington D.C.,2025-06-28 03:00:00,71.83,light rain
Washington D.C.,2025-06-28 06:00:00,72.18,light rain
Washington D.C.,2025-06-28 09:00:00,73.02,overcast clouds
Washington D.C.,2025-06-28 12:00:00,75.06,overcast clouds
Washington D.C.,2025-06-28 15:00:00,84.83,overcast clouds
Washington D.C.,2025-06-28 18:00:00,92.82,broken clouds
Washington D.C.,2025-06-28 21:00:00,95.31,few clouds
Washington D.C.,2025-06-29 00:00:00,76.78,moderate rain
Washington D.C.,2025-06-29 03:00:00,74.3,moderate rain
Washington D.C.,2025-06-29 06:00:00,72.05,overcast clouds
Washington D.C.,2025-06-29 09:00:00,72.03,scattered clouds
Washington D.C.,2025-06-29 12:00:00,76.93,broken clouds
Washington D.C.,2025-06-29 15:00:00,85.5,scattered clouds
Washington D.C.,2025-06-29 18:00:00,90.3,scattered clouds
