City,Datetime,Temp(F),Humidity(%),Wind Speed(mph),Cloudiness(%),Visibility(m),Description
Orlando,2025-06-26 14:01:34,89.8,54,12.66,0,10000,clear sky
Chicago,2025-06-26 14:09:28,94.23,49,7,7,10000,clear sky
Dallas,2025-06-26 14:09:53,90.27,59,6.91,40,10000,scattered clouds
Washington D.C.,2025-06-26 14:11:57,95.49,55,6.91,75,10000,broken clouds
Portland,2025-06-26 14:14:54,65.44,72,6.91,100,10000,overcast clouds
Portland,2025-06-26 14:17:04,65.44,72,6.91,100,10000,overcast clouds
Miami,2025-06-26 14:19:41,84.85,71,10.36,75,10000,broken clouds
Panama City,2025-06-26 14:21:19,87.91,68,9.22,40,10000,scattered clouds
Fort Worth,2025-06-26 14:25:11,90.23,55,13.8,20,10000,few clouds
Dallas,2025-06-26 14:30:39,90.7,58,6.91,40,10000,scattered clouds
Dallas,2025-06-26 14:31:39,90.7,58,6.91,40,10000,scattered clouds
Dallas,2025-06-26 14:35:32,90.97,58,7,40,10000,scattered clouds
Dallas,2025-06-26 14:39:00,91.49,57,6.91,40,10000,scattered clouds
Memphis,2025-06-26 14:41:45,92.14,54,6.91,75,10000,broken clouds
Tempe,2025-06-26 14:43:36,100.69,10,4,20,10000,few clouds
Dallas,2025-06-26 16:25:07,92.48,55,10.36,40,10000,scattered clouds
Boston,2025-06-26 16:52:29,64.47,77,11.5,100,10000,overcast clouds
Boston,2025-06-26 16:52:32,64.47,77,11.5,100,10000,overcast clouds
Dallas,2025-06-26 17:07:00,91.56,57,10.36,40,10000,scattered clouds
Munich,2025-06-26 17:48:10,63.34,93,1.01,100,10000,overcast clouds
Denver,2025-06-26 17:57:24,87.37,21,3,54,10000,broken clouds
Clifton,2025-06-26 17:59:46,69.58,64,12.66,100,10000,overcast clouds
Crump,2025-06-26 18:00:25,89.62,66,4.61,0,10000,clear sky
Dallas,2025-06-26 18:07:37,90.9,56,12.66,40,10000,scattered clouds
Houston,2025-06-26 18:10:19,80.11,81,6.91,0,10000,clear sky
Houston,2025-06-26 18:10:40,80.11,81,6.91,0,10000,clear sky
Dallas,2025-06-26 18:10:53,90.81,57,14.97,20,10000,few clouds
Miami,2025-06-26 18:11:14,81.81,81,1.99,14,10000,few clouds
Munich,2025-06-26 18:20:58,62.96,93,1.01,100,10000,overcast clouds
Dallas,2025-06-26 18:30:39,90.81,56,14.97,40,10000,scattered clouds
Denver,2025-06-26 18:33:39,86.4,22,5.01,54,10000,broken clouds
Little Rock,2025-06-26 18:35:08,91.18,57,8.05,75,10000,broken clouds
Newark,2025-06-26 18:36:29,69.49,64,12.66,100,10000,overcast clouds
Tempe,2025-06-26 18:41:46,104,10,10.36,20,10000,smoke
Key West,2025-06-26 18:47:55,85.19,80,12.66,0,10000,clear sky
London,2025-06-26 19:02:46,61.86,63,13.8,86,10000,light rain
Miami,2025-06-26 19:05:54,81.18,81,11.5,75,10000,broken clouds
Kingsbridge,2025-06-26 19:17:40,60.62,86,5.97,100,10000,overcast clouds
Denver,2025-06-26 19:30:13,85.51,25,5.01,54,10000,broken clouds
Ontario,2025-06-26 19:30:48,84,48,17,0,10000,clear sky
Tempe,2025-06-26 19:38:16,103.59,10,13.8,20,10000,smoke
Miami,2025-06-26 19:38:58,81.07,82,12.66,20,10000,few clouds
Orlando,2025-06-26 19:40:42,80.94,74,11.5,40,10000,scattered clouds
Miami,2025-06-26 19:43:06,81.07,82,12.66,20,10000,few clouds
Munich,2025-06-26 19:58:54,62.15,93,1.01,96,10000,overcast clouds
Frankfurt am Main,2025-06-26 20:00:31,67.59,81,8.05,0,10000,clear sky
Jonesboro,2025-06-26 20:01:03,87.17,62,12.66,20,10000,few clouds
Tokyo,2025-06-26 20:04:40,84.99,68,8.05,75,10000,broken clouds
Tempe,2025-06-26 20:05:53,102.99,10,11.5,0,10000,clear sky
Los Angeles,2025-06-26 20:11:00,76.73,63,12.66,0,10000,clear sky
Fort Worth,2025-06-27 17:29:28,93.81,49,13.8,20,10000,few clouds
Milan,2025-06-27 17:42:02,78.96,70,1.01,0,10000,clear sky
